enName,newCases,weight,YTDweight,myName,zhName,location,status,Deaths,index case,Other notes
Jalan Badli Shah,0,36.0,36.0,Jalan Badli Shah,Jalan Badli Shah,"Petaling, Klang, Hulu Langat",active,,,
Integrasi Rawang Tiga,0,13.0,13.0,Integrasi Rawang Tiga,Integrasi Rawang Tiga,Gombak,,,,
Belacon,0,59.0,59.0,Belacon,Belacon,"Lahad Datu, Tawau",,,,
Taman Komersial,0,14.0,14.0,Taman Komersial,Taman Komersial,Hulu Langat,,,,
Persiaran Utama,0,73.0,73.0,Persiaran Utama,Persiaran Utama,Seremban,active,,,
Lorong Dua,0,51.0,51.0,Lorong Dua,Lorong Dua,"Petaling, Kuala Selangor",active,,,
Jalan Mata Kuching,0,26.0,26.0,Jalan Mata Kuching,Jalan Mata Kuching,Melaka Tengah,active,,,
Jalan Inovasi,0,17.0,17.0,Jalan Inovasi,Jalan Inovasi,"Cheras, Titiwangsa, Putrajaya",,,,
Bukit Sera,0,15.0,15.0,Bukit Sera,Bukit Sera,Kuala Muda,,,,
Tembok Sri Aman,0,381.0,381.0,Tembok Sri Aman,Tembok Sri Aman,Sri Aman,,,,
Sungai Rassau,0,19.0,19.0,Sungai Rassau,Sungai Rassau,"Sibu, Matu",,,,
Sungai Mupong,0,18.0,18.0,Sungai Mupong,Sungai Mupong,"Sibu, Meradong",,,,
Rich Park,0,297.0,297.0,Rich Park,Rich Park,"Tawau, Kota Kinabalu",active,2.0,,
Kampung Batu Lapan Lekir,0,14.0,14.0,Kampung Batu Lapan Lekir,Kampung Batu Lapan Lekir,Manjung,,,,
Jalan Suasana,0,19.0,19.0,Jalan Suasana,Jalan Suasana,Hulu Langat,,,,
Jalan Murni Satu,0,21.0,21.0,Jalan Murni Satu,Jalan Murni Satu,"Batu Pahat, Kluang, Mersing",,,,
Jalan Maju Cemerlang,0,39.0,39.0,Jalan Maju Cemerlang,Jalan Maju Cemerlang,Johor Bahru,,,,
Jalan Alamanda,0,12.0,12.0,Jalan Alamanda,Jalan Alamanda,"Putrajaya, Sepang",,,,
Danan,0,20.0,20.0,Danan,Danan,Pasir Puteh,,,,
Teknologi Peramu Jaya,0,108.0,108.0,Teknologi Peramu Jaya,Teknologi Peramu Jaya,"Kuantan, Pekan",active,,,
Simpang Tiga Merotai,0,32.0,32.0,Simpang Tiga Merotai,Simpang Tiga Merotai,"Tawau, Kalabakan",,,,
Kampung Binyu,0,166.0,166.0,Kampung Binyu,Kampung Binyu,"Kuching, Bintulu, Samarahan, Simunjan",active,,,
Jalan Merdeka,0,35.0,35.0,Jalan Merdeka,Jalan Merdeka,Johor Bahru,,,,
Jalan Kubota Sentral,0,11.0,11.0,Jalan Kubota Sentral,Jalan Kubota Sentral,Tawau,,,,
Jalan Kenanga,0,32.0,32.0,Jalan Kenanga,Jalan Kenanga,Alor Gajah,,,,
Jalan Bandar Sembilan,0,21.0,21.0,Jalan Bandar Sembilan,Jalan Bandar Sembilan,Petaling,,,,
Wakaf Chagak,0,11.0,11.0,Wakaf Chagak,Wakaf Chagak,"Kuala Nerus, Kuala Terengganu",,,,
Simpang Empat,0,19.0,19.0,Simpang Empat,Simpang Empat,Kunak,,,,
Permatang Pasir,0,27.0,27.0,Permatang Pasir,Permatang Pasir,Port Dickson,,,,
Pekan Batu,0,17.0,17.0,Pekan Batu,Pekan Batu,Hulu Langat,,1.0,,
Kalindukan,0,14.0,14.0,Kalindukan,Kalindukan,Nabawan,,,,
Jalan Taat,0,39.0,39.0,Jalan Taat,Jalan Taat,Johor Bahru,active,,,
Jalan Padang,0,21.0,21.0,Jalan Padang,Jalan Padang,"Tampin, Rembau, Kuala Pilah, Jempol, Alor Gajah",,,,
Jalan Bukit Nanas,0,13.0,13.0,Jalan Bukit Nanas,Jalan Bukit Nanas,"Cheras, Titiwangsa, Lembah Pantai",,,,
Industri Bukit Angkat,0,44.0,44.0,Industri Bukit Angkat,Industri Bukit Angkat,Hulu Langat,active,,,
Banjaran Gading,0,44.0,44.0,Banjaran Gading,Banjaran Gading,Kota Kinabalu,active,,,
Taman Emas,0,17.0,17.0,Taman Emas,Taman Emas,Lipis,,,,
Kait Gading,0,67.0,67.0,Kait Gading,Kait Gading,Batu Pahat,,,,
Jalan Teluk Kumbar,0,16.0,16.0,Jalan Teluk Kumbar,Jalan Teluk Kumbar,Barat Daya,,,,
Jalan Sungai Ramal,0,21.0,21.0,Jalan Sungai Ramal,Jalan Sungai Ramal,Hulu Langat,,,,
Jalan Permas Cetak,0,10.0,10.0,Jalan Permas Cetak,Jalan Permas Cetak,Johor Bahru,,,,
Bukit Serdang,0,50.0,50.0,Bukit Serdang,Bukit Serdang,"Hulu Langat, Petaling",active,,,
Rimbayan,0,64.0,64.0,Rimbayan,Rimbayan,Keningau,,,,
Pulau Enoe,0,72.0,72.0,Pulau Enoe,Pulau Enoe,Labuan,active,,,
Lorong Mulia,0,19.0,19.0,Lorong Mulia,Lorong Mulia,Johor Bahru,,,,
Layar,0,10.0,10.0,Layar,Layar,"Kota Setar, Kuala Muda",,,,
